+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|      1 | I1     |  ....  |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      2 | I2     | I1     |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      3 | I3     | I2     | I1     |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      4 | I90    |  ....  |  ....  | I1     |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      5 | I91    | I90    |  ....  |  ....  | I1     |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      6 | I92    | I91    | I90    |  ....  |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      7 | I3     |  ....  |  ....  | I90    |  ....  |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      8 | I4     | I3     |  ....  |  ....  | I90    |       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|      9 | I5     | I4     | I3     |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     10 | I47    |  ....  |  ....  | I3     |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     11 | I48    | I47    |  ....  |  ....  | I3     |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     12 | I49    | I48    | I47    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     13 | I50    | I49    | I48    | I47    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     14 | I50    | I49    |  ....  | I48    | I47    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     15 | I50    | I49    |  ....  |  ....  | I48    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     16 | I50    | I49    |  ....  |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     17 | I51    | I50    | I49    |  ....  |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     18 | I52    | I51    | I50    | I49    |  ....  |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     19 | I53    | I52    | I51    | I50    | I49    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     20 | I54    | I53    | I52    | I51    | I50    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     21 | I55    | I54    | I53    | I52    | I51    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     22 | I56    | I55    | I54    | I53    | I52    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     23 | I57    | I56    | I55    | I54    | I53    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     24 | I58    | I57    | I56    | I55    | I54    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     25 | I59    | I58    | I57    | I56    | I55    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     26 | I60    | I59    | I58    | I57    | I56    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     27 | I61    | I60    | I59    | I58    | I57    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     28 | I62    | I61    | I60    | I59    | I58    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     29 | I63    | I62    | I61    | I60    | I59    |       0|       0|       0|       0|       0|       8|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
